Characteristic,LRRK2_carriers,LRRK2_MC1R_carriers,GBA_carriers,GBA_MC1R_carriers
Participants,96,187,56,87
MC1R LoF homozygotes (%),0,16 (8.6),0,5 (5.7)
"Age at PD onset, mean (SD)",62.6 (10.4),65.1 (10.9),60.2 (10.3),61.6 (10.2)
Male (%),53 (55.2),87 (46.5),28 (50.0),53 (60.9)
Asian (%),1 (1.1),0,0,0
White (%),80 (83.3),175 (93.6),52 (92.9),85 (97.7)
Unknown race (%),15 (15.6),12 (6.4),4 (7.1),2 (2.3)
"Average follow-up, mean (SD)",4.4 (3.2),3.9 (3.6),4.0 (3.7),4.0 (3.3)
"MDS-UPDRS III at baseline, mean (SD)",19.0 (10.6),21.4 (10.8),26.2 (14.6),24.9 (12.1)
"MoCA at baseline, mean (SD)",25.7 (3.1),26.1 (3.0),26.1 (3.5),26.5 (2.6)
On PD medication at baseline (%),57 (67.1),97 (66.0),27 (51.9),39 (51.3)
SAA positive (%),46 (47.9),70 (37.4),29 (51.8),48 (55.2)
SAA negative (%),14 (14.6),39 (20.9),0,4 (4.6)
SAA unknown (%),36 (37.5),78 (41.7),27 (48.2),35 (40.2)
History of melanoma (%),0,1 (0.5),0,1 (1.1)
