Outcome,Noncarrier_slope_95CI,MC1R_slope_95CI,Beta_diff_95CI,Pct_diff,P_value
MDS-UPDRS III OFF,"1.91 (1.63, 2.20)","2.39 (2.17, 2.61)","0.48 (0.13, 0.83)",24.8,0.008
Tremor OFF,"0.25 (0.15, 0.34)","0.29 (0.21, 0.36)","0.04 (-0.08, 0.16)",17.0,0.50
Rigidity OFF,"0.32 (0.26, 0.39)","0.36 (0.31, 0.41)","0.04 (-0.04, 0.12)",12.3,0.33
Bradykinesia OFF,"0.93 (0.78, 1.07)","1.18 (1.06, 1.29)","0.25 (0.07, 0.42)",26.6,0.006
Axial OFF,"0.33 (0.27, 0.39)","0.37 (0.33, 0.42)","0.05 (-0.03, 0.12)",14.4,0.21
Orofacial OFF,"0.12 (0.04, 0.14)","0.17 (0.15, 0.19)","0.05 (0.02, 0.08)",40.2,0.001
MDS-UPDRS III ON,"0.77 (0.50, 1.04)","0.99 (0.78, 1.19)","0.21 (-0.12, 0.55)",27.7,0.21
Tremor ON,"-0.12 (-0.20, -0.05)","-0.11 (-0.17, -0.06)","0.01 (-0.08, 0.10)",9.5,0.80
Rigidity ON,"0.11 (0.05, 0.17)","0.10 (0.05, 0.14)","-0.01 (-0.09, 0.07)",-9.8,0.79
Bradykinesia ON,"0.39 (0.25, 0.52)","0.53 (0.43, 0.63)","0.14 (-0.02, 0.31)",36.7,0.09
Axial ON,"0.36 (0.28, 0.43)","0.43 (0.37, 0.48)","0.07 (-0.02, 0.16)",20.1,0.12
Orofacial ON,"0.11 (0.08, 0.13)","0.13 (0.11, 0.14)","0.02 (-0.01, 0.05)",18.9,0.20
