Characteristic,Non_carriers,MC1R_LoF_carriers
Participants,152,231
MC1R LoF homozygotes (%),--,20 (8.7)
"Age at PD onset, mean (SD)",64.6 (10.5),61.3 (9.9)**
Male (%),96 (63.2),157 (68.0)
Asian (%),1 (0.7),7 (3.0)
Black (%),2 (1.3),3 (1.3)
White (%),138 (90.8),210 (90.9)
Unknown race (%),11 (7.2),11 (4.8)
"Average follow-up, mean (SD)",6.7 (4.0),6.8 (3.7)
"MDS-UPDRS III OFF at baseline, mean (SD)",23.6 (9.9),19.4 (8.8)***
"MoCA at baseline, mean (SD)",27.3 (2.0),27.1 (2.6)
On PD medication at baseline (%),0,3 (1.3)
Deep brain stimulation treatment (%),16 (10.5),25 (10.8)
SAA positive (%),91 (59.9),208 (90.0)***
SAA negative (%),7 (4.6),8 (3.5)
SAA unknown (%),54 (35.5),15 (6.5)
History of melanoma (%),1 (0.7),5 (2.2)
