Outcome,Noncarrier_slope_95CI,MC1R_slope_95CI,Beta_diff_95CI,Pct_diff,P_value
MDS-UPDRS III OFF,"1.94 (1.59, 2.29)","2.51 (2.25, 2.78)","0.57 (0.16, 0.98)",29.5,0.006
Tremor OFF,"0.24 (0.12, 0.36)","0.31 (0.21, 0.40)","0.07 (-0.08, 0.21)",27.4,0.36
Rigidity OFF,"0.33 (0.24, 0.41)","0.35 (0.28, 0.41)","0.02 (-0.08, 0.12)",6.4,0.68
Bradykinesia OFF,"0.94 (0.76, 1.12)","1.27 (1.14, 1.41)","0.33 (0.13, 0.54)",35.5,0.001
Axial OFF,"0.35 (0.28, 0.42)","0.36 (0.31, 0.42)","0.02 (-0.07, 0.10)",4.8,0.70
Orofacial OFF,"0.14 (0.11, 0.17)","0.18 (0.15, 0.20)","0.04 (0.00, 0.07)",25.3,0.03
MDS-UPDRS III ON,"0.84 (0.45, 1.22)","1.09 (0.80, 1.37)","0.25 (-0.22, 0.72)",30.0,0.30
Tremor ON,"-0.20 (-0.31, -0.09)","-0.10 (-0.18, -0.02)","0.10 (-0.04, 0.23)",48.2,0.16
Rigidity ON,"0.11 (0.02, 0.19)","0.10 (0.04, 0.16)","-0.01 (-0.11, 0.10)",-7.9,0.88
Bradykinesia ON,"0.44 (0.25, 0.63)","0.56 (0.43, 0.69)","0.12 (-0.11, 0.35)",27.2,0.30
Axial ON,"0.40 (0.29, 0.50)","0.43 (0.35, 0.50)","0.03 (-0.10, 0.16)",7.2,0.66
Orofacial ON,"0.12 (0.08, 0.15)","0.12 (0.10, 0.15)","0.01 (-0.04, 0.05)",4.5,0.80
